Time,Distance,Rotation
0,-0.958997,354.7346
0.007336617,-0.9589019,354.8009
0.01863194,-0.9588289,354.8696
0.0294714,-0.958766,354.9148
0.04060841,-0.9586442,354.9592
0.05185223,-0.9585836,354.9904
0.06300068,-0.9584081,355.0133
0.0741272,-0.9582263,355.0452
0.08522701,-0.9580224,355.0822
0.09613037,-0.9578002,355.0959
0.1072607,-0.9575958,355.1075
0.1183357,-0.9573776,355.1236
0.1297083,-0.9571122,355.1377
0.1405087,-0.9567789,355.1607
0.1525116,-0.9565489,355.1592
0.1630144,-0.9563886,355.1755
0.1740675,-0.9561281,355.1702
0.1850014,-0.9559651,355.1759
0.1960697,-0.9556896,355.1758
0.2072792,-0.9553971,355.1791
0.2182856,-0.9551553,355.1908
0.2294006,-0.954878,355.2112
0.2410688,-0.9545475,355.2228
0.2520933,-0.9542295,355.2095
0.263381,-0.9536735,355.1906
0.2745523,-0.9532748,355.1412
0.2854214,-0.9528546,355.0692
0.2963581,-0.9524034,355.0016
0.3074446,-0.9520242,354.9319
0.3184357,-0.9515738,354.8771
0.3295708,-0.9510312,354.8274
0.340888,-0.9505888,354.7834
0.3518381,-0.9501476,354.755
0.3628521,-0.9498205,354.721
0.3739433,-0.9493155,354.6904
0.3853512,-0.9488074,354.6618
0.3961544,-0.948283,354.6575
0.4073629,-0.9477059,354.6336
0.4185658,-0.9471269,354.6018
0.4295168,-0.9464918,354.5791
0.4407263,-0.9458574,354.5432
0.4516373,-0.9451643,354.5043
0.4628963,-0.9445387,354.4744
0.4739618,-0.9438435,354.4376
0.4850063,-0.9431255,354.4177
0.4960661,-0.9424583,354.3989
0.5071745,-0.9416898,354.3891
0.5183849,-0.9409346,354.3446
0.5294876,-0.9402359,354.2894
0.5405712,-0.9394712,354.2343
0.5516319,-0.938714,354.1878
0.5626755,-0.9379086,354.1214
0.5739651,-0.9371045,354.0541
0.5851183,-0.9362924,353.9973
0.5960951,-0.9354733,353.9402
0.6071711,-0.9345821,353.8888
0.6183119,-0.9335337,353.8322
0.6293592,-0.9324325,353.7697
0.6405525,-0.9312298,353.6882
0.6516905,-0.9298754,353.5945
0.6627026,-0.9284498,353.4965
0.6737728,-0.9270276,353.4025
0.6848364,-0.9255108,353.3296
0.6963177,-0.9239914,353.2696
0.7072639,-0.9225111,353.2397
0.7183084,-0.920942,353.188
0.7292347,-0.9193462,353.1161
0.7404137,-0.9176401,353.0311
0.7516928,-0.9158722,352.9583
0.7630625,-0.9141102,352.8914
0.7743034,-0.9122634,352.8369
0.7849159,-0.91038,352.7922
0.7958508,-0.9083783,352.7642
0.8069477,-0.9063712,352.7313
0.818224,-0.9042135,352.7018
0.829134,-0.9019394,352.6558
0.8404531,-0.8996179,352.5921
0.8516035,-0.8972034,352.5299
0.8625946,-0.8947966,352.4849
0.874301,-0.8922927,352.4621
0.8849535,-0.889783,352.4666
0.8959932,-0.8871638,352.4657
0.9071598,-0.8844147,352.4618
0.918025,-0.8815666,352.4612
0.9291439,-0.8786349,352.4565
0.9402084,-0.8755155,352.453
0.9512825,-0.8724537,352.4604
0.9630041,-0.8692909,352.4606
0.9740562,-0.8660505,352.4534
0.9850588,-0.8626449,352.4088
0.9957085,-0.8590977,352.3498
1.00687,-0.8555334,352.2789
1.018144,-0.8519213,352.1969
1.029133,-0.8482032,352.1224
1.040184,-0.8443733,352.0542
1.051323,-0.8404821,352.0032
1.062417,-0.8363994,351.9566
1.073721,-0.8323444,351.9078
1.085277,-0.8281373,351.8683
1.09581,-0.8238616,351.8405
1.10704,-0.8194022,351.8202
1.11798,-0.8148075,351.7936
1.129163,-0.8103575,351.7724
1.140233,-0.8057343,351.7379
1.151422,-0.8010849,351.7195
1.16241,-0.7963698,351.6985
1.173561,-0.7914927,351.6569
1.184631,-0.786527,351.624
1.195816,-0.781565,351.6142
1.206987,-0.7766823,351.6133
1.218025,-0.7716666,351.6145
1.22924,-0.766559,351.6264
1.240333,-0.7613173,351.6605
1.251178,-0.7560536,351.7272
1.262351,-0.7505252,351.8159
1.27337,-0.745033,351.7899
1.284547,-0.7395852,351.6706
1.295597,-0.7340174,351.6563
1.306744,-0.7284266,351.7437
1.317913,-0.7226458,351.8767
1.328894,-0.7170011,351.9769
1.340005,-0.7113835,352.0248
1.351081,-0.7057726,352.0622
1.362427,-0.7001568,352.1171
1.373305,-0.6944703,352.1532
1.38444,-0.6887041,352.1691
1.395895,-0.6829299,352.1492
1.406779,-0.6771007,352.1283
1.418,-0.6712464,352.1125
1.428822,-0.6653552,352.0894
1.440229,-0.6594245,352.069
1.451249,-0.6535102,352.0493
1.46224,-0.6477522,352.0707
1.473338,-0.6419078,352.088
1.484665,-0.6361729,352.1085
1.495972,-0.6303891,352.1373
1.506588,-0.6246468,352.1864
1.517995,-0.6190358,352.2566
1.529088,-0.6133682,352.3088
1.540114,-0.607842,352.3456
1.551103,-0.6021928,352.3757
1.562533,-0.5966028,352.3897
1.573726,-0.5909963,352.3943
1.584711,-0.5854744,352.4467
1.595442,-0.579898,352.5306
1.606744,-0.5743325,352.6402
1.617856,-0.5687813,352.7408
1.628754,-0.563292,352.8581
1.639893,-0.557907,352.9959
1.65131,-0.5523247,353.1631
1.66213,-0.5470508,353.3377
1.673203,-0.5417045,353.5389
1.68452,-0.5364362,353.7138
1.695702,-0.5310901,353.8505
1.706874,-0.5258303,353.9317
1.717903,-0.5204428,353.9763
1.72886,-0.5149539,353.959
1.74006,-0.5095528,353.9088
1.751087,-0.5040512,353.8526
1.762065,-0.498623,353.7966
1.773155,-0.493081,353.7522
1.78424,-0.4874634,353.7307
1.795485,-0.4818751,353.698
1.806732,-0.4763514,353.6696
1.817557,-0.4706563,353.6622
1.828674,-0.4649211,353.6399
1.83981,-0.4591321,353.5934
1.85117,-0.4532841,353.558
1.862333,-0.4474356,353.5117
1.873102,-0.4414884,353.4989
1.884214,-0.4354787,353.482
1.895497,-0.4295319,353.4749
1.906553,-0.423563,353.4595
1.917629,-0.4175103,353.428
1.92887,-0.4114072,353.3779
1.939729,-0.4052128,353.2918
1.950797,-0.3989252,353.2002
1.962201,-0.392646,353.1294
1.973032,-0.3861409,353.0578
1.984133,-0.3797565,352.9852
1.995564,-0.3731376,352.9257
2.006641,-0.3663149,352.8383
2.017554,-0.3595276,352.7639
2.02866,-0.3526009,352.6852
2.039668,-0.3458101,352.6353
2.050949,-0.3386891,352.6385
2.062187,-0.3315561,352.7039
2.073058,-0.3240213,352.7809
2.084433,-0.3167281,352.6202
2.095706,-0.3094482,352.5074
2.106297,-0.3019624,352.5093
2.117849,-0.2945019,352.5868
2.128878,-0.2869021,352.6428
2.139938,-0.2794235,352.537
2.150982,-0.2718995,352.3792
2.161948,-0.2645006,352.2723
2.173115,-0.2568768,352.2161
2.184107,-0.2494552,352.2269
2.195196,-0.2419785,352.2535
2.206357,-0.2346472,352.3521
2.217384,-0.2273515,352.437
2.228509,-0.2200294,352.5477
2.239626,-0.2130448,352.6683
2.25083,-0.2059314,352.7786
2.261827,-0.1988984,352.8576
2.272922,-0.1919116,352.9086
2.284004,-0.1849626,352.9178
2.295115,-0.1779794,352.8823
2.306226,-0.1709551,352.855
2.317344,-0.1639706,352.8205
2.328621,-0.1571321,352.8345
2.339643,-0.1502242,352.8774
2.35066,-0.1432837,352.9429
2.361763,-0.1364366,353.0254
2.372903,-0.1295818,353.1265
2.384258,-0.1226491,353.2496
2.395084,-0.1159291,353.4164
2.406371,-0.1092613,353.6152
2.417359,-0.1027197,353.8408
2.4284,-0.09593832,354.0315
2.439637,-0.08945107,354.1643
2.45058,-0.0828861,354.2378
2.461965,-0.07632017,354.2551
2.4729,-0.06976116,354.2357
2.484269,-0.06308568,354.2312
2.499236,-0.05645466,354.2149
2.506127,-0.0501765,354.1971
2.515706,-0.0434798,354.1473
2.526742,-0.03682184,354.1091
2.537878,-0.03002095,354.0683
2.548951,-0.02334881,354.0315
2.56008,-0.01657236,353.9922
2.571179,-0.009621501,353.9664
2.58257,-0.002522349,353.9591
2.593361,0.004500866,353.9518
2.60446,0.01159453,353.9636
2.61556,0.01869571,353.9788
2.626697,0.02581954,353.9922
2.637839,0.03303194,354.0046
2.648886,0.04022515,354.0199
2.660137,0.04750896,354.0433
2.671148,0.05479503,354.0834
2.682235,0.06218302,354.107
2.693345,0.06959105,354.1267
2.704722,0.0770576,354.1281
2.715595,0.0846585,354.1042
2.726659,0.09225881,354.0471
2.738,0.1000923,353.9575
2.748858,0.1079824,353.8604
2.759951,0.1158978,353.75
2.771186,0.1238741,353.6763
2.782152,0.1319582,353.5961
2.793343,0.1399713,353.5449
2.80462,0.1480507,353.5001
2.815526,0.1563388,353.5442
2.826611,0.1648413,353.5553
2.837712,0.1733299,353.4759
2.848844,0.1818413,353.4285
2.860258,0.1904484,353.4796
2.871329,0.1989702,353.5587
2.882618,0.207585,353.6693
2.893784,0.2159945,353.7928
2.90522,0.224255,353.9646
2.916327,0.2322348,354.2616
2.927551,0.240122,354.5681
2.938763,0.2479264,354.8156
2.950128,0.2556163,354.9363
2.961267,0.2631723,354.9451
2.972566,0.2708336,354.8952
2.983717,0.2783314,354.8065
2.994849,0.2856179,354.7205
3.005955,0.2927996,354.6549
3.016997,0.2999436,354.6157
3.02844,0.3071507,354.5638
3.039184,0.3143922,354.4718
3.050311,0.3216931,354.3591
3.061419,0.3288707,354.2377
3.07274,0.3359863,354.1534
3.084137,0.3431708,354.1466
3.094781,0.3502363,354.1968
3.106418,0.3569406,354.2623
3.117224,0.3639959,354.3549
3.128213,0.3707777,354.4681
3.139284,0.3775684,354.6414
3.150316,0.3843335,354.8663
3.161469,0.3910469,355.1343
3.17261,0.3976051,355.4304
3.183596,0.4041122,355.7298
3.194817,0.4104394,356.0096
3.205835,0.4168671,356.2187
3.216929,0.4231807,356.3311
3.228131,0.4295288,356.3173
3.239178,0.4359547,356.2619
3.25027,0.4423093,356.1275
3.261714,0.4487342,356.0594
3.272513,0.4550964,355.9323
3.283609,0.4614681,355.8854
3.294843,0.467759,355.8671
3.306336,0.4740754,355.872
3.317205,0.4804376,355.9124
3.328344,0.4868213,355.9495
3.339389,0.4932228,355.9703
3.350394,0.4996887,355.9803
3.361361,0.5062467,355.9786
3.372446,0.5127712,355.9563
3.383764,0.5192734,355.9277
3.394717,0.5258089,355.8856
3.405889,0.5323707,355.8209
3.417329,0.5389847,355.7446
3.427984,0.5455974,355.673
3.439316,0.5521489,355.567
3.450422,0.5587863,355.4398
3.461351,0.5655175,355.3024
3.472562,0.5723165,355.1681
3.483609,0.5791324,355.0522
3.494644,0.5860697,354.9609
3.505726,0.5930084,354.8945
3.516828,0.5999337,354.8483
3.527942,0.6068989,354.8188
3.538962,0.6138438,354.7666
3.550092,0.6209155,354.7209
3.56121,0.6279508,354.6734
3.572447,0.635049,354.6606
3.583432,0.6423424,354.7379
3.594734,0.6498605,354.7285
3.605812,0.6570569,354.5452
3.616729,0.6643115,354.5233
3.627848,0.6717428,354.6346
3.639001,0.6791359,354.7228
3.650445,0.6865398,354.8057
3.661157,0.6939212,354.7607
3.672287,0.7011207,354.6777
3.683387,0.7084528,354.5837
3.694499,0.7157718,354.4733
3.705635,0.723152,354.3547
3.716953,0.7303911,354.2597
3.72785,0.7375129,354.2392
3.739203,0.7444516,354.3425
3.750051,0.7512146,354.4772
3.7611,0.7578167,354.6334
3.772223,0.7643596,354.7585
3.783312,0.7710122,354.8298
3.794701,0.777716,354.8046
3.805535,0.7844809,354.6836
3.816718,0.7911783,354.5316
3.828009,0.7978929,354.3482
3.838867,0.8044542,354.26
3.850013,0.8109394,354.2692
3.861094,0.8174225,354.3434
3.87242,0.8236939,354.4686
3.883327,0.8300427,354.6083
3.894524,0.836378,354.748
3.905515,0.8426272,354.9215
3.916592,0.8487972,355.0691
3.927736,0.8549401,355.2386
3.938947,0.861077,355.4042
3.950018,0.8672177,355.5355
3.96133,0.8733736,355.6388
3.972396,0.8794864,355.6838
3.983274,0.8856574,355.6822
3.994588,0.8917562,355.6352
4.005478,0.8978764,355.5893
4.01655,0.9039756,355.5431
4.027826,0.9102412,355.4865
4.038877,0.9164697,355.4306
4.049905,0.9227914,355.3815
4.061289,0.929185,355.3483
4.072235,0.9355048,355.3341
4.083206,0.9419259,355.3119
4.094303,0.9483451,355.2776
4.10577,0.9548899,355.2275
4.116926,0.961464,355.1583
