Time,Distance,Rotation
0,-1.072565,3.479323
0.00775528,-1.072252,3.445585
0.01868439,-1.071997,3.428951
0.02984619,-1.071721,3.416323
0.04112244,-1.071483,3.428825
0.05211449,-1.071347,3.443528
0.06305313,-1.07114,3.432129
0.07451248,-1.071042,3.426502
0.08534622,-1.070907,3.406935
0.09634972,-1.070688,3.38708
0.1074677,-1.070404,3.360332
0.1186028,-1.070075,3.338622
0.1297646,-1.069817,3.316639
0.1410275,-1.069569,3.302347
0.1523571,-1.069274,3.294033
0.1630592,-1.068873,3.275261
0.1741409,-1.06851,3.254397
0.1859169,-1.068177,3.23144
0.1964703,-1.067848,3.218258
0.2073917,-1.067431,3.210373
0.2189522,-1.067019,3.204148
0.2297802,-1.066472,3.212666
0.2406998,-1.06602,3.229706
0.2518539,-1.065472,3.242445
0.2630596,-1.064933,3.257737
0.2745838,-1.064316,3.288008
0.2854462,-1.063673,3.319836
0.2963238,-1.063109,3.382486
0.3074303,-1.062465,3.449353
0.3189507,-1.061735,3.547289
0.3297691,-1.061073,3.620229
0.3407307,-1.060309,3.724076
0.3518238,-1.059492,3.795832
0.3628883,-1.058582,3.880414
0.3742905,-1.057662,3.981151
0.385107,-1.056739,4.08552
0.3961868,-1.055698,4.175662
0.4076672,-1.054671,4.263253
0.4185505,-1.053557,4.342513
0.4295425,-1.052482,4.410396
0.4410706,-1.051325,4.460846
0.4520836,-1.050126,4.490632
0.4628983,-1.048949,4.519781
0.4739799,-1.047769,4.538851
0.4854221,-1.046545,4.537593
0.4962292,-1.045265,4.540356
0.5072899,-1.043997,4.53269
0.5188828,-1.042884,4.529375
0.5296059,-1.041617,4.529047
0.5408745,-1.04033,4.52389
0.5517712,-1.03909,4.506498
0.5630875,-1.037741,4.48345
0.5739326,-1.036494,4.44576
0.5850277,-1.035105,4.40484
0.5962143,-1.033641,4.369467
0.6073303,-1.032219,4.348352
0.6187382,-1.03074,4.311139
0.6294575,-1.029297,4.2842
0.640564,-1.027811,4.239558
0.65168,-1.026376,4.18869
0.6628132,-1.024844,4.13213
0.6738758,-1.023376,4.081414
0.6849861,-1.021804,4.032543
0.6960545,-1.020154,3.975538
0.7072277,-1.018482,3.902845
0.7184563,-1.016911,3.84241
0.7296009,-1.015268,3.784735
0.7408791,-1.013631,3.724694
0.7518826,-1.011964,3.64784
0.7627182,-1.010192,3.575635
0.7739868,-1.008432,3.495168
0.7849312,-1.006591,3.441401
0.7960567,-1.00462,3.39715
0.8071918,-1.002411,3.405192
0.8184948,-1.000299,3.434838
0.8294029,-0.9980993,3.484689
0.8408108,-0.9958506,3.549323
0.8516026,-0.9935931,3.578658
0.8627529,-0.9912843,3.589111
0.8738174,-0.988874,3.574454
0.8849239,-0.9864568,3.554019
0.8959961,-0.9839615,3.491472
0.9071865,-0.9814616,3.441139
0.9227848,-0.9787952,3.350131
0.9294872,-0.9760491,3.304859
0.9389477,-0.9733471,3.29123
0.9497261,-0.9704753,3.328413
0.9608002,-0.9675294,3.420585
0.9718838,-0.9644997,3.527896
0.9829769,-0.9613945,3.641794
0.9942875,-0.9581665,3.744262
1.00543,-0.9548022,3.828491
1.016413,-0.9513181,3.936008
1.027452,-0.947788,4.046527
1.03846,-0.9442402,4.17355
1.04957,-0.9405444,4.274346
1.060846,-0.9368052,4.334556
1.072123,-0.9329127,4.356705
1.08287,-0.9288379,4.328403
1.093943,-0.9245809,4.281814
1.105114,-0.9201571,4.234131
1.116175,-0.9156839,4.182549
1.127298,-0.9111668,4.144898
1.138371,-0.9064094,4.097988
1.149466,-0.9014654,4.072908
1.160576,-0.8963991,4.0628
1.171978,-0.8912514,4.076745
1.182814,-0.8859508,4.112195
1.194128,-0.8805275,4.157323
1.205093,-0.8748007,4.22131
1.216202,-0.8689905,4.27593
1.227276,-0.8629538,4.313578
1.238617,-0.8568799,4.341274
1.249502,-0.8506368,4.346746
1.260595,-0.8440549,4.382304
1.271852,-0.8374443,4.418458
1.28293,-0.8306426,4.488396
1.294172,-0.8238581,4.595346
1.305435,-0.8168479,4.699579
1.316725,-0.8097385,4.776577
1.327932,-0.8025619,4.820297
1.339285,-0.7952203,4.828413
1.350412,-0.787701,4.81091
1.361717,-0.7801447,4.763637
1.37306,-0.7721226,4.736022
1.38446,-0.7639015,4.714879
1.395439,-0.755565,4.612796
1.406977,-0.7472961,4.463595
1.417974,-0.7388679,4.293714
1.429125,-0.7304016,4.194983
1.440359,-0.7219772,4.196242
1.451303,-0.7136843,4.302218
1.462626,-0.7053636,4.464437
1.473736,-0.6970435,4.581234
1.484646,-0.6888052,4.735271
1.495802,-0.6806079,4.86412
1.507782,-0.6724576,4.976227
1.518274,-0.6644425,5.029281
1.529423,-0.6564487,5.023289
