Time (s),HMD_Position_X,HMD_Rotation_X
0.0000,-0.490050,3.055935
0.0115,-0.490354,3.062188
0.0249,-0.490397,3.036731
0.0300,-0.490989,3.052485
0.0392,-0.491279,3.045176
0.0502,-0.490489,3.153069
0.0613,-0.490463,3.147788
0.0744,-0.490564,3.149508
0.0835,-0.490653,3.133516
0.0946,-0.490692,3.145982
0.1057,-0.488917,3.226658
0.1168,-0.488848,3.227145
0.1280,-0.488900,3.213685
0.1391,-0.488963,3.208386
0.1502,-0.488955,3.221485
0.1650,-0.488902,3.232045
0.1724,-0.488868,3.216185
0.1836,-0.489113,3.200033
0.1947,-0.488965,3.205743
0.2057,-0.488536,3.204454
0.2168,-0.488319,3.217934
0.2281,-0.490528,3.184557
0.2390,-0.490598,3.176743
0.2501,-0.489438,3.233944
0.2613,-0.489371,3.233971
0.2731,-0.489355,3.236197
0.2837,-0.489882,3.252091
0.2946,-0.489973,3.252407
0.3060,-0.491189,3.213644
0.3204,-0.491459,3.217650
0.3281,-0.491355,3.236329
0.3390,-0.491581,3.245940
0.3503,-0.491074,3.298264
0.3614,-0.491172,3.297072
0.3723,-0.491151,3.293100
0.3836,-0.490237,3.359552
0.3951,-0.490168,3.361435
0.4062,-0.488936,3.361935
0.4175,-0.488807,3.390624
0.4288,-0.488653,3.379407
0.4400,-0.488607,3.347773
0.4514,-0.488468,3.351232
0.4628,-0.533570,0.973839
0.4780,-0.536203,1.016920
0.4853,-0.542949,0.646224
0.4966,-0.546725,0.659301
0.5078,-0.550396,0.734383
0.5191,-0.553842,0.793314
0.5304,-0.556990,0.858567
0.5417,-0.558835,0.954690
0.5538,-0.561480,1.005654
0.5643,-0.490779,2.616772
0.5755,-0.487979,2.605502
0.5868,-0.489715,2.447273
0.5979,-0.488548,2.443231
0.6089,-0.488491,2.393448
0.6200,-0.487484,2.403034
0.6351,-0.487289,2.386385
0.6424,-0.486790,2.389959
0.6534,-0.486329,2.376281
0.6644,-0.495318,1.979106
0.6755,-0.495437,1.995302
0.6866,-0.496007,1.955040
0.6977,-0.496400,1.957120
0.7088,-0.482073,2.506670
0.7200,-0.481694,2.518561
0.7311,-0.481492,2.467309
0.7421,-0.481744,2.396471
0.7533,-0.481374,2.390570
0.7644,-0.481480,2.376420
0.7754,-0.481989,2.330150
0.7905,-0.481759,2.315034
0.8020,-0.481950,2.311136
0.8087,-0.481811,2.307455
0.8182,-0.482280,2.240062
0.8292,-0.482225,2.241767
0.8404,-0.481537,2.241880
0.8515,-0.482389,2.173255
0.8625,-0.483151,2.129839
0.8739,-0.482974,2.129893
0.8850,-0.484013,2.108995
0.8958,-0.483983,2.102029
0.9071,-0.484256,2.105006
0.9216,-0.484352,2.117429
0.9294,-0.484551,2.116389
0.9443,-0.485146,2.041567
0.9514,-0.485902,1.970067
0.9626,-0.486250,1.972628
0.9736,-0.486103,1.935840
0.9848,-0.486471,1.937651
0.9959,-0.486417,1.942558
1.0070,-0.486773,1.950554
1.0185,-0.486905,1.909221
1.0296,-0.487178,1.920497
1.0407,-0.499867,1.545770
1.0523,-0.500371,1.564412
1.0628,-0.485999,2.030588
1.0741,-0.486151,2.029350
1.0852,-0.486158,2.090881
1.1003,-0.486362,2.070776
1.1070,-0.486516,2.056406
1.1180,-0.486494,2.065409
1.1291,-0.486507,2.041533
1.1402,-0.486726,2.013137
1.1513,-0.486683,2.012125
1.1625,-0.486862,2.008667
1.1738,-0.486628,2.005951
1.1851,-0.486810,2.000940
1.1963,-0.487149,1.972284
1.2076,-0.487350,1.963985
1.2189,-0.487218,1.954598
1.2301,-0.486993,1.963421
1.2414,-0.487191,1.940933
1.2563,-0.486228,1.974791
1.2682,-0.486220,2.037014
1.2749,-0.484948,2.093551
1.2847,-0.484941,2.095553
1.2960,-0.485087,2.080751
1.3069,-0.484568,2.098300
1.3180,-0.485725,2.068311
1.3290,-0.485692,2.081667
1.3402,-0.484857,2.101913
1.3512,-0.484971,2.085166
1.3625,-0.486126,2.088973
1.3735,-0.486466,2.080243
1.3845,-0.485367,2.132360
1.3957,-0.485476,2.120151
1.4110,-0.485062,2.133841
1.4182,-0.485129,2.108587
1.4289,-0.485074,2.109140
1.4401,-0.485125,2.076141
1.4513,-0.485130,2.079837
1.4626,-0.486653,2.094780
1.4734,-0.486774,2.081262
1.4845,-0.486869,2.094486
1.4956,-0.487047,2.067863
1.5067,-0.487151,2.071765
1.5185,-0.487359,2.069550
1.5289,-0.487429,2.070878
1.5400,-0.487259,2.056587
1.5512,-0.487521,2.039731
1.5660,-0.487556,2.031920
1.5792,-0.487432,2.048583
1.5845,-0.485016,2.114924
1.5941,-0.485081,2.100243
1.6052,-0.485050,2.093307
1.6163,-0.485055,2.095372
1.6277,-0.485061,2.098544
1.6386,-0.484996,2.072736
1.6497,-0.484946,2.083292
1.6610,-0.485010,2.052737
1.6720,-0.485116,2.056500
1.6830,-0.489146,1.941859
1.6941,-0.489165,2.089964
1.7055,-0.489453,2.087089
1.7203,-0.489770,2.079332
1.7273,-0.490016,2.074132
1.7385,-0.491432,2.071657
1.7496,-0.491956,2.063413
1.7607,-0.492335,2.062203
1.7718,-0.492504,2.077480
1.7829,-0.492807,2.056453
1.7940,-0.493210,2.058805
1.8051,-0.493551,2.060997
1.8162,-0.493913,2.046608
1.8275,-0.493529,2.087782
1.8387,-0.493611,2.080446
1.8499,-0.493252,2.108927
1.8611,-0.486513,2.386164
1.8766,-0.485449,2.446630
1.8830,-0.485191,2.420458
1.8940,-0.485883,2.446640
1.9051,-0.485740,2.436530
1.9164,-0.485680,2.438205
1.9273,-0.485602,2.424700
1.9388,-0.485411,2.429279
1.9499,-0.486117,2.390196
1.9614,-0.486752,2.435793
1.9724,-0.486677,2.442981
1.9838,-0.486847,2.422293
1.9950,-0.485707,2.487561
2.0063,-0.485523,2.483570
2.0177,-0.485684,2.449780
2.0330,-0.485667,2.460457
2.0456,-0.488751,2.368055
2.0513,-0.488965,2.377145
2.0610,-0.489114,2.383790
2.0721,-0.489499,2.366838
2.0832,-0.489596,2.356048
2.0943,-0.489882,2.357973
2.1057,-0.490077,2.358308
2.1166,-0.490158,2.367470
2.1278,-0.490379,2.356076
2.1389,-0.490314,2.358772
2.1499,-0.490415,2.366148
2.1611,-0.490576,2.342532
2.1722,-0.490784,2.346209
2.1875,-0.490719,2.334116
2.1944,-0.485827,2.495618
2.2054,-0.485601,2.493001
2.2166,-0.487915,2.444589
2.2277,-0.488270,2.439338
2.2387,-0.488396,2.430270
2.2500,-0.488529,2.427735
2.2611,-0.488589,2.420009
2.2720,-0.486738,2.585616
2.2832,-0.486669,2.561871
2.2943,-0.485666,2.658231
2.3054,-0.485594,2.644436
2.3165,-0.485819,2.706678
2.3276,-0.484730,2.735634
2.3423,-0.484501,2.713750
